iterm,facet,domain,subject,lword
environmental performance monitoring,phenomenon_process,Sustainability,environmental impact,environmental performance monitoring
environmental protection,phenomenon_process,Sustainability,environmental engineering,environmental protection
environmental quality,concept,Sustainability,sustainability assessment,environmental quality
environmental resilience,concept,Sustainability,climate science,environmental resilience
environmental restoration project,concept,Sustainability,land management,environmental restoration project
environmental risk assessment,phenomenon_process,Sustainability,environmental engineering,environmental risk assessment
environmental science,theoretical_framing,Sustainability,environmental science,environmental science
environmental sensing,phenomenon_process,Sustainability,environmental science,environmental sensing
environmental studies,theoretical_framing,Sustainability,environmental science,environmental studies
environmental target,concept,Sustainability,sustainability assessment,environmental target
environmentally friendly,concept,Sustainability,sustainable design,environmentally friendly
environmentally friendly material,concept,Sustainability,building materials,environmentally friendly material
equity in access to resource,concept,Sustainability,social equity,equity in access to resource
erosion control,concept,Sustainability,land management,erosion control
eutrophication,concept,Sustainability,environmental impact,eutrophication
evaporation cooling,concept,Sustainability,thermal systems,evaporation cooling
evaporative cooling,concept,Sustainability,thermal systems,evaporative cooling
evolution,phenomenon_process,Sustainability,environmental science,evolution
exploration,concept,Sustainability,environmental resource management,exploration
extreme event,concept,Sustainability,environmental hazards,extreme event
extreme heat,concept,Sustainability,climate science,extreme heat
extreme weather event,phenomenon_process,Sustainability,climate science,extreme weather event
field-measurement,empirical_technique,Sustainability,data collection methods,field measurement
fire following earthquake,phenomenon_process,Sustainability,safety engineering,fire following earthquake
flash flood,phenomenon_process,Sustainability,environmental hazards,flash flood
flat plate collector,phenomenon_object,Sustainability,energy systems,flat plate collector
flood plane,concept,Sustainability,environmental engineering,flood plane
flood risk mitigation,concept,Sustainability,climate science,flood risk mitigation
flood risk perception,concept,Sustainability,decision making and reasoning,flood risk perception
flood vulnerability analysis,concept,Sustainability,environmental hazards,flood vulnerability analysis
flooding,phenomenon_process,Sustainability,environmental hazards,flooding
flow measurement,empirical_technique,Sustainability,data collection methods,flow measurement
food security,concept,Sustainability,environmental resource management,food security
footprint analysis,concept,Sustainability,environmental impact,footprint analysis
foreign oil,phenomenon_object,Sustainability,environmental resource management,foreign oil
forest,phenomenon_object,Sustainability,environmental science,forest
fossil fuel,concept,Sustainability,energy systems,fossil fuel
freezing,phenomenon_process,Sustainability,environmental science,freezing
fresh water,concept,Sustainability,water management,fresh water
fuel consumption,concept,Sustainability,energy systems,fuel consumption
